Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1325,1.07,5.93,48.0,4.5
1319,1.06,5.91,0.0,4.5
1328,1.07,5.95,0.0,4.5
1328,1.07,5.95,64.0,4.5
1326,1.07,5.94,64.0,4.5
1317,1.06,5.9,64.0,4.5
1319,1.06,5.91,64.0,4.5
1321,1.06,5.91,64.0,4.5
1357,1.09,6.08,32.0,9.0
1321,1.06,5.91,64.0,4.5
1325,1.07,5.93,64.0,4.5
1319,1.06,5.91,32.0,4.5
1319,1.06,5.91,32.0,4.5
1321,1.06,5.91,32.0,4.5
1319,1.06,5.91,48.0,4.5
1317,1.06,5.9,0.0,4.5
1322,1.07,5.92,32.0,4.5
1323,1.07,5.92,32.0,4.5
1319,1.06,5.91,32.0,4.5
1322,1.07,5.92,0.0,4.5
1323,1.07,5.92,32.0,4.5
1329,1.07,5.95,32.0,4.5
1325,1.07,5.93,32.0,4.5
1324,1.07,5.93,32.0,4.5
1319,1.06,5.91,48.0,4.5
1325,1.07,5.93,32.0,4.5
1397,1.13,6.25,0.0,9.0
1395,1.12,6.25,0.0,9.0
1390,1.12,6.22,0.0,9.0
1319,1.06,5.91,32.0,4.5
1309,1.05,5.86,32.0,4.5
1323,1.07,5.92,0.0,4.5
1328,1.07,5.95,0.0,4.5
1392,1.12,6.23,0.0,9.0
1517,1.22,6.79,0.0,9.0
1744,1.41,7.81,0.0,13.5
2141,1.73,9.59,0.0,23.25
2805,2.26,12.56,0.0,37.5
2757,2.22,12.34,0.0,37.5
2736,2.2,12.25,0.0,37.5
2704,2.18,12.11,0.0,37.5
2666,2.15,11.94,0.0,32.25
2548,2.05,11.41,0.0,32.25
2453,1.98,10.98,0.0,27.75
2295,1.85,10.27,0.0,27.75
2363,1.9,10.58,0.0,27.75
2344,1.89,10.49,0.0,27.75
2320,1.87,10.39,0.0,27.75
2333,1.88,10.44,0.0,27.75
2289,1.84,10.25,0.0,27.75
2295,1.85,10.27,0.0,27.75
2242,1.81,10.04,0.0,27.75
2262,1.82,10.13,0.0,27.75
2230,1.8,9.98,32.0,23.25
2234,1.8,10.0,0.0,27.75
2237,1.8,10.02,0.0,27.75
2234,1.8,10.0,32.0,27.75
2238,1.8,10.02,32.0,27.75
2227,1.79,9.97,0.0,23.25
2191,1.77,9.81,32.0,23.25
2179,1.76,9.76,0.0,23.25
2187,1.76,9.79,0.0,23.25
2182,1.76,9.77,0.0,23.25
2176,1.75,9.74,0.0,23.25
2173,1.75,9.73,0.0,23.25
2162,1.74,9.68,0.0,23.25
2158,1.74,9.66,0.0,23.25
2160,1.74,9.67,0.0,23.25
2160,1.74,9.67,0.0,23.25
2160,1.74,9.67,0.0,23.25
2160,1.74,9.67,0.0,23.25
2162,1.74,9.68,0.0,23.25
2159,1.74,9.67,0.0,23.25
2190,1.76,9.8,0.0,23.25
2192,1.77,9.81,32.0,23.25
2206,1.78,9.88,32.0,23.25
2199,1.77,9.84,0.0,23.25
2183,1.76,9.77,32.0,23.25
2149,1.73,9.62,0.0,23.25
2151,1.73,9.63,32.0,23.25
2134,1.72,9.55,0.0,23.25
2116,1.71,9.47,32.0,23.25
2096,1.69,9.38,1.0,23.25
2037,1.64,9.12,0.0,23.25
1979,1.59,8.86,0.0,18.75
2083,1.68,9.33,0.0,23.25
2015,1.62,9.02,19.0,23.25
2065,1.66,9.25,48.0,23.25
1996,1.61,8.94,32.0,18.75
1925,1.55,8.62,64.0,18.75
1901,1.53,8.51,64.0,18.75
1925,1.55,8.62,64.0,18.75
1919,1.55,8.59,20.0,18.75
1914,1.54,8.57,26.0,18.75
1913,1.54,8.56,27.0,18.75
1918,1.55,8.59,30.0,18.75
1917,1.54,8.58,64.0,18.75
1910,1.54,8.55,80.0,18.75
1904,1.53,8.52,64.0,18.75
1905,1.54,8.53,80.0,18.75
1904,1.53,8.52,31.0,18.75
1909,1.54,8.55,64.0,18.75
1905,1.54,8.53,80.0,18.75
1909,1.54,8.55,64.0,18.75
1900,1.53,8.51,34.0,18.75
1887,1.52,8.45,64.0,18.75
1875,1.51,8.39,80.0,18.75
1859,1.5,8.32,64.0,18.75
1839,1.48,8.23,64.0,18.75
1691,1.36,7.57,64.0,13.5
1414,1.14,6.33,76.0,9.0
1488,1.2,6.66,53.0,9.0
1513,1.22,6.77,80.0,9.0
1530,1.23,6.85,64.0,9.0
1527,1.23,6.84,64.0,9.0
1535,1.24,6.87,48.0,9.0
1535,1.24,6.87,46.0,9.0
1563,1.26,7.0,53.0,9.0
1565,1.26,7.01,64.0,13.5
1703,1.37,7.62,16.0,13.5
1665,1.34,7.45,2.0,13.5
1679,1.35,7.52,16.0,13.5
1681,1.35,7.53,7.0,13.5
1683,1.36,7.53,32.0,13.5
1689,1.36,7.56,32.0,13.5
1681,1.35,7.53,32.0,13.5
1691,1.36,7.57,0.0,13.5
1692,1.36,7.58,0.0,13.5
1682,1.36,7.53,0.0,13.5
1687,1.36,7.55,0.0,13.5
1685,1.36,7.54,0.0,13.5
1682,1.36,7.53,0.0,13.5
1680,1.35,7.52,0.0,13.5
1680,1.35,7.52,0.0,13.5
1681,1.35,7.53,0.0,13.5
1627,1.31,7.28,0.0,13.5
1666,1.34,7.46,0.0,13.5
1648,1.33,7.38,0.0,13.5
1669,1.34,7.47,0.0,13.5
1673,1.35,7.49,0.0,13.5
1735,1.4,7.77,0.0,13.5
1808,1.46,8.09,0.0,18.75
1758,1.42,7.87,0.0,13.5
1747,1.41,7.82,32.0,13.5
1750,1.41,7.83,56.0,13.5
1751,1.41,7.84,32.0,13.5
1756,1.42,7.86,64.0,13.5
1755,1.41,7.86,64.0,13.5
1767,1.42,7.91,48.0,13.5
1827,1.47,8.18,64.0,18.75
1890,1.52,8.46,64.0,18.75
1842,1.48,8.25,48.0,18.75
1853,1.49,8.3,39.0,18.75
1853,1.49,8.3,64.0,18.75
1849,1.49,8.28,64.0,18.75
1847,1.49,8.27,64.0,18.75
1858,1.5,8.32,64.0,18.75
1857,1.5,8.31,32.0,18.75
1856,1.5,8.31,6.0,18.75
1857,1.5,8.31,32.0,18.75
1893,1.53,8.47,0.0,18.75
1925,1.55,8.62,48.0,18.75
1871,1.51,8.38,0.0,18.75
2023,1.63,9.06,0.0,23.25
1954,1.57,8.75,0.0,18.75
1947,1.57,8.72,0.0,18.75
1946,1.57,8.71,0.0,18.75
1952,1.57,8.74,0.0,18.75
2047,1.65,9.16,0.0,23.25
2066,1.66,9.25,0.0,23.25
2062,1.66,9.23,0.0,23.25
2045,1.65,9.16,0.0,23.25
2031,1.64,9.09,0.0,23.25
2064,1.66,9.24,0.0,23.25
2046,1.65,9.16,0.0,23.25
2061,1.66,9.23,0.0,23.25
2061,1.66,9.23,0.0,23.25
2104,1.7,9.42,0.0,23.25
2191,1.77,9.81,0.0,23.25
2231,1.8,9.99,0.0,23.25
2192,1.77,9.81,0.0,23.25
2181,1.76,9.76,0.0,23.25
2281,1.84,10.21,0.0,27.75
2294,1.85,10.27,32.0,27.75
2266,1.83,10.14,0.0,27.75
2243,1.81,10.04,32.0,27.75
2288,1.84,10.24,48.0,27.75
2287,1.84,10.24,22.0,27.75
2267,1.83,10.15,32.0,27.75
2263,1.82,10.13,26.0,27.75
2256,1.82,10.1,34.0,27.75
2262,1.82,10.13,27.0,27.75
2257,1.82,10.1,32.0,27.75
2261,1.82,10.12,32.0,27.75
2260,1.82,10.12,32.0,27.75
2258,1.82,10.11,18.0,27.75
2257,1.82,10.1,32.0,27.75
2266,1.83,10.14,32.0,27.75
2079,1.68,9.31,64.0,23.25
2110,1.7,9.45,32.0,23.25
2110,1.7,9.45,32.0,23.25
2113,1.7,9.46,32.0,23.25
2073,1.67,9.28,16.0,23.25
2040,1.64,9.13,32.0,23.25
1985,1.6,8.89,48.0,18.75
2042,1.65,9.14,0.0,23.25
2039,1.64,9.13,0.0,23.25
2039,1.64,9.13,32.0,23.25
2060,1.66,9.22,0.0,23.25
2065,1.66,9.25,32.0,23.25
